"OBJECTID,N,10,0","NAME,C,50","CLASS,C,4","NPU1,C,4","DISTRICT,C,8","ADDRESS,C,50","GIS_AC,N,19,11","ZIP,C,5","X_TRLPAV,N,4,0","X_TRLNPAV,N,4,0","PAVILIONS,N,11,0","PLAYGROUND,N,12,0","PIC_SHEL,N,9,0","GAZEBO,N,9,0","PICNICTABL,N,9,0","PARKGRILL1,N,12,0","RESTROOMS,C,11","PV_PRKSPAC,C,14","BALLFIELDS,N,9,0","SOCCER,C,13","TENNIS,N,9,0","TRL_NUM,C,9","TRL_LEN,C,9","BBALL,N,9,0","VOLLEYBALL,N,9,0","POOL,C,9","GYM,C,9","RECCEN,N,18,0","COVBB,N,4,0","DOGPARK,N,4,0","TRACK,N,4,0","NAT,N,4,0","GOLF,N,4,0","AREA_FIN,N,19,3","RECCTRNM,C,254","SHAPE_AREA,N,19,11"
258,Rebel Valley Playlot,B,Z,1,1005 Stonewall Drive SE,1.37283554824,30315,0,0,1,1,1,0,0,0,0,0,0,,0,,,1,0,,0,0,0,0,0,0,0,1.373,,59748.25246000000
259,Rosel Fann Park,C,Z,12,365 Cleveland Ave. SE,18.54688083440,30354,1,0,2,1,0,0,0,0,0,133,1,,0,,,0,0,0,1,1,0,0,0,1,0,20.080,Rosel Fann,807215.05634000000
260,South Atlanta Park,N,Y,1,Gammon St. SE at Bisbee Ave.,11.05326263910,30315,0,0,1,1,0,1,0,0,0,0,1,,3,1,0.25,1,0,,0,0,0,0,1,0,0,11.053,,481076.75528000000
261,Tucson Trail Park,N,P,11,"4610 Tucson Trail SW, at Santa Rosa Dr.",2.77379981536,30331,0,0,0,1,0,0,0,0,0,0,1,,0,,,0,0,1,0,0,0,0,0,0,0,2.774,,120747.25580000000
262,Underwood Hills Park,N,D,9,1845 Harper St. NW,9.72968002846,30318,0,0,0,1,1,0,0,0,0,0,1,,2,,,1,0,,0,0,0,0,0,0,0,10.700,,423485.72757000000
263,Walker Park,N,O,5,Memorial Dr. at Memorial Ter. SE,6.46324050213,30316,0,0,0,1,0,0,0,0,0,0,1,1,0,,,0,0,,0,0,0,0,0,0,0,7.020,,281287.28144000000
264,Wilson Mill Park,C,H,10,300 Wilson Mill Rd. SW,36.77345485270,30331,0,0,0,2,2,0,0,0,0,0,3,,2,,,1,0,,0,0,0,0,0,0,0,35.500,,1600751.30630000000
265,Windsor Street Park,B,V,4,700 Windsor St. at Bass St. SE,1.08955080799,30310,0,0,0,1,1,0,0,0,0,0,0,,0,,,1,0,,0,0,0,0,0,0,0,1.090,,47421.66726000000
266,Stafford Street Park,G,K,4,Stafford St. SW at Jasper St.,0.11796386199,30314,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.118,,5134.43567000000
267,Coan Park,C,O,5,1530 Woodbine Ave. SE,13.26408406910,30317,1,0,1,1,0,0,0,0,0,0,1,,4,1,0.2,2,0,,1,1,0,0,0,0,0,13.264,Coan,577264.49358000000
268,Whittier Mills Park,N,D,9,Spad Ave. at Wales Ave. NW,21.65898361120,30318,0,0,0,0,0,0,0,0,,,0,,0,1,,0,0,,,0,0,0,0,0,0,22.000,,942787.90555000000
